epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.331,1.20372,0.65542,0.81221,0.86866,0.54152,0.61609,0.38837,1.10728,0.58577,0.80816,0.000742625,0.000742625,0.000742625
43,183.825,1.19835,0.64955,0.80753,0.8481,0.58337,0.63298,0.39351,1.08826,0.59186,0.80803,0.00073025,0.00073025,0.00073025
44,188.345,1.14964,0.62454,0.80732,0.8952,0.53677,0.63472,0.39503,1.09206,0.57938,0.80821,0.000717875,0.000717875,0.000717875
45,192.816,1.13683,0.61902,0.80493,0.90027,0.55418,0.63719,0.39479,1.07925,0.57196,0.80686,0.0007055,0.0007055,0.0007055
46,197.346,1.1297,0.6116,0.80522,0.86414,0.54647,0.63091,0.38766,1.09896,0.58524,0.80683,0.000693125,0.000693125,0.000693125
47,201.915,1.1707,0.61986,0.80364,0.87635,0.55664,0.63548,0.40121,1.0584,0.56148,0.80525,0.00068075,0.00068075,0.00068075
48,206.044,1.15015,0.6202,0.80411,0.88407,0.5661,0.64676,0.4099,1.05414,0.56008,0.80653,0.000668375,0.000668375,0.000668375
49,210.078,1.1085,0.59,0.80636,0.89952,0.53807,0.65639,0.412,1.05904,0.5589,0.80526,0.000656,0.000656,0.000656
50,214.134,1.08862,0.57676,0.80635,0.91478,0.58227,0.66279,0.41074,1.04658,0.5499,0.80541,0.000643625,0.000643625,0.000643625
51,218.238,1.16103,0.60888,0.80679,0.88845,0.52364,0.61557,0.379,1.10678,0.59602,0.81266,0.00063125,0.00063125,0.00063125
52,222.345,1.16694,0.61283,0.80384,0.89661,0.55607,0.63083,0.38815,1.14144,0.59021,0.81021,0.000618875,0.000618875,0.000618875
53,226.384,1.15509,0.5953,0.80223,0.8848,0.5557,0.64471,0.39152,1.09561,0.56862,0.80696,0.0006065,0.0006065,0.0006065
54,230.357,1.11889,0.58981,0.80529,0.8641,0.57662,0.64991,0.39523,1.06708,0.54548,0.80619,0.000594125,0.000594125,0.000594125
55,234.318,1.08118,0.57372,0.80244,0.87661,0.60117,0.65746,0.41422,1.06,0.54263,0.8057,0.00058175,0.00058175,0.00058175
56,238.469,1.12591,0.58882,0.80125,0.84081,0.63322,0.6443,0.39109,1.10176,0.55308,0.80702,0.000569375,0.000569375,0.000569375
57,242.585,1.16783,0.595,0.80533,0.90733,0.54797,0.63955,0.39881,1.10954,0.55299,0.80725,0.000557,0.000557,0.000557
58,246.56,1.14183,0.58202,0.80098,0.85709,0.61517,0.67365,0.41388,1.08853,0.5394,0.80509,0.000544625,0.000544625,0.000544625
59,250.507,1.08883,0.56874,0.80051,0.895,0.56472,0.64751,0.40983,1.04283,0.52969,0.80387,0.00053225,0.00053225,0.00053225
60,254.445,1.11912,0.56937,0.80216,0.84679,0.57649,0.64987,0.39986,1.04776,0.55548,0.80423,0.000519875,0.000519875,0.000519875
61,258.362,1.10426,0.56479,0.80197,0.85067,0.57194,0.63629,0.39917,1.03549,0.55888,0.80365,0.0005075,0.0005075,0.0005075
62,262.33,1.06712,0.55691,0.80221,0.85944,0.58681,0.64356,0.39869,1.05728,0.54309,0.8049,0.000495125,0.000495125,0.000495125
63,266.359,1.08832,0.56348,0.8005,0.83791,0.59599,0.6637,0.41196,1.04808,0.52952,0.80322,0.00048275,0.00048275,0.00048275
64,270.323,1.08153,0.55785,0.80477,0.83775,0.62061,0.66216,0.40771,1.02784,0.53572,0.80398,0.000470375,0.000470375,0.000470375
65,274.196,1.06541,0.55176,0.80255,0.88317,0.60449,0.65366,0.40495,1.07674,0.54299,0.80446,0.000458,0.000458,0.000458
66,278.194,1.04833,0.55282,0.80157,0.88776,0.60481,0.6702,0.41744,1.02372,0.53209,0.8047,0.000445625,0.000445625,0.000445625
67,282.516,1.08848,0.55997,0.80148,0.88089,0.59222,0.64174,0.3967,1.04171,0.53209,0.80418,0.00043325,0.00043325,0.00043325
68,286.721,1.06218,0.55579,0.80065,0.85771,0.57977,0.66476,0.41832,1.02958,0.52684,0.80259,0.000420875,0.000420875,0.000420875
69,290.724,1.04914,0.54685,0.80187,0.88293,0.60916,0.66707,0.41862,1.0288,0.52245,0.80361,0.0004085,0.0004085,0.0004085
70,294.654,1.09246,0.56029,0.80219,0.7659,0.61125,0.66421,0.42018,1.02888,0.52229,0.80302,0.000396125,0.000396125,0.000396125
71,298.573,1.05522,0.53664,0.80149,0.84908,0.63637,0.67676,0.42272,1.01616,0.51956,0.80136,0.00038375,0.00038375,0.00038375
72,302.516,1.03718,0.53278,0.79945,0.88228,0.61382,0.66893,0.42027,1.03485,0.52461,0.80412,0.000371375,0.000371375,0.000371375
73,306.773,1.0426,0.53089,0.80014,0.89371,0.62749,0.68922,0.42423,1.03941,0.53005,0.80363,0.000359,0.000359,0.000359
74,310.956,1.10369,0.55555,0.79858,0.89782,0.62363,0.68978,0.41912,1.06627,0.52508,0.80387,0.000346625,0.000346625,0.000346625
75,315.289,1.06365,0.53976,0.80156,0.87574,0.60886,0.68158,0.41946,1.02637,0.5206,0.80284,0.00033425,0.00033425,0.00033425
76,319.977,1.03547,0.52785,0.8026,0.8874,0.61766,0.68939,0.41622,1.00953,0.51079,0.80205,0.000321875,0.000321875,0.000321875
77,324.155,1.03266,0.52833,0.79885,0.87615,0.60317,0.67781,0.42128,1.00962,0.51679,0.80185,0.0003095,0.0003095,0.0003095
78,328.324,1.01463,0.52264,0.80014,0.82686,0.58948,0.67454,0.41665,1.01886,0.52515,0.80233,0.000297125,0.000297125,0.000297125
79,332.37,1.06119,0.53113,0.79865,0.86181,0.59597,0.69017,0.4136,1.03685,0.53089,0.80331,0.00028475,0.00028475,0.00028475
80,336.458,1.04004,0.53232,0.79715,0.85086,0.6192,0.68953,0.43438,1.00136,0.50346,0.80241,0.000272375,0.000272375,0.000272375
81,340.445,1.04322,0.53025,0.79906,0.85768,0.62008,0.69581,0.43513,1.00309,0.51095,0.80184,0.00026,0.00026,0.00026
82,344.792,1.03979,0.53007,0.80025,0.85861,0.6114,0.68827,0.428,1.01247,0.51707,0.8015,0.000247625,0.000247625,0.000247625
83,349.035,1.02914,0.5204,0.79865,0.8663,0.60763,0.68838,0.42073,1.04512,0.51771,0.8038,0.00023525,0.00023525,0.00023525
84,353.464,1.03628,0.51993,0.79972,0.91397,0.62815,0.70842,0.42774,1.00682,0.5013,0.80149,0.000222875,0.000222875,0.000222875
85,357.5,1.01923,0.5144,0.79672,0.89258,0.61741,0.70015,0.43767,0.99255,0.49443,0.8008,0.0002105,0.0002105,0.0002105
86,361.536,1.03832,0.5216,0.79474,0.89802,0.62055,0.70927,0.44,0.99097,0.49196,0.80083,0.000198125,0.000198125,0.000198125
87,365.573,1.01904,0.51504,0.79566,0.91181,0.61185,0.70453,0.44314,1.00865,0.49713,0.80168,0.00018575,0.00018575,0.00018575
88,369.547,1.00667,0.50848,0.80121,0.89254,0.61995,0.70149,0.4476,0.99297,0.49078,0.80057,0.000173375,0.000173375,0.000173375
89,373.698,1.00265,0.51049,0.79715,0.91555,0.61873,0.69926,0.4461,0.98584,0.49246,0.8008,0.000161,0.000161,0.000161
90,378.01,0.99411,0.51064,0.79629,0.91306,0.61038,0.70945,0.43931,0.98665,0.49582,0.8001,0.000148625,0.000148625,0.000148625
91,408.584,0.95199,0.51045,0.7978,0.91132,0.61166,0.69333,0.43554,0.99206,0.50145,0.80003,0.00013625,0.00013625,0.00013625
92,412.575,0.93773,0.49999,0.79844,0.92741,0.59903,0.69853,0.42612,1.00679,0.51309,0.79985,0.000123875,0.000123875,0.000123875
93,416.554,0.93212,0.49697,0.79825,0.89382,0.61066,0.68354,0.42236,1.00708,0.51684,0.80045,0.0001115,0.0001115,0.0001115
94,420.486,0.93207,0.48936,0.79956,0.90195,0.61136,0.70018,0.42934,1.01289,0.51575,0.80014,9.9125e-05,9.9125e-05,9.9125e-05
95,424.395,0.93332,0.48774,0.79508,0.80352,0.61479,0.67787,0.42649,1.002,0.51183,0.80075,8.675e-05,8.675e-05,8.675e-05
96,428.378,0.93885,0.49138,0.79551,0.85455,0.63793,0.69601,0.41993,1.01815,0.51179,0.80068,7.4375e-05,7.4375e-05,7.4375e-05
97,432.381,0.93764,0.48365,0.79707,0.86086,0.65823,0.70248,0.42531,0.99851,0.50572,0.79947,6.2e-05,6.2e-05,6.2e-05
98,436.436,0.91439,0.48012,0.79766,0.86968,0.65699,0.70032,0.42936,0.98709,0.50128,0.79955,4.9625e-05,4.9625e-05,4.9625e-05
99,440.339,0.92228,0.47978,0.7964,0.87817,0.65512,0.70293,0.43146,0.99009,0.50249,0.79954,3.725e-05,3.725e-05,3.725e-05
100,444.188,0.92121,0.47681,0.79448,0.8821,0.65733,0.70382,0.43102,0.99195,0.50327,0.79929,2.4875e-05,2.4875e-05,2.4875e-05
