epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,3059.76,0.69486,0.45041,0.83027,0.90603,0.84056,0.8805,0.63082,0.64438,0.42815,0.84163,0.000668375,0.000668375,0.000668375
49,3140.48,0.67885,0.43733,0.83086,0.91445,0.80348,0.8764,0.6372,0.67814,0.42966,0.84486,0.000656,0.000656,0.000656
50,3191.63,0.68597,0.43939,0.83196,0.86879,0.83714,0.8755,0.63991,0.67079,0.4262,0.84318,0.000643625,0.000643625,0.000643625
51,3222.49,0.69741,0.44023,0.83183,0.88022,0.80585,0.8727,0.62542,0.65618,0.43392,0.84204,0.00063125,0.00063125,0.00063125
52,3256.97,0.69111,0.43718,0.82888,0.88105,0.85221,0.88004,0.64181,0.66016,0.42546,0.84228,0.000618875,0.000618875,0.000618875
53,3408.38,0.67562,0.43016,0.82885,0.9066,0.82244,0.88234,0.64439,0.63457,0.41626,0.83884,0.0006065,0.0006065,0.0006065
54,3447.71,0.67527,0.42796,0.82975,0.89861,0.83231,0.89132,0.64727,0.6454,0.41091,0.83985,0.000594125,0.000594125,0.000594125
55,3484.89,0.67793,0.42978,0.83251,0.91994,0.8406,0.89159,0.64891,0.65856,0.42155,0.84321,0.00058175,0.00058175,0.00058175
56,3533.14,0.68384,0.42445,0.82786,0.925,0.84516,0.8905,0.65473,0.65014,0.40702,0.84087,0.000569375,0.000569375,0.000569375
57,3566.68,0.67517,0.42344,0.82678,0.92247,0.84524,0.89649,0.6551,0.66114,0.40905,0.8425,0.000557,0.000557,0.000557
58,3653.04,0.66078,0.41736,0.82683,0.90335,0.82929,0.87473,0.63957,0.6513,0.41274,0.84212,0.000544625,0.000544625,0.000544625
59,3726.58,0.65748,0.41067,0.82887,0.90429,0.84198,0.89175,0.64198,0.65887,0.41566,0.84193,0.00053225,0.00053225,0.00053225
60,3765.68,0.67487,0.42027,0.82749,0.91296,0.83183,0.88322,0.64836,0.66451,0.41989,0.84558,0.000519875,0.000519875,0.000519875
61,3952.28,0.67937,0.41458,0.82555,0.90961,0.81891,0.87957,0.64219,0.66848,0.41552,0.84663,0.0005075,0.0005075,0.0005075
62,3987.16,0.66734,0.41259,0.82646,0.93227,0.82838,0.88114,0.64228,0.64917,0.40913,0.84345,0.000495125,0.000495125,0.000495125
63,4030.76,0.66608,0.40879,0.82596,0.89708,0.8421,0.8912,0.65141,0.64515,0.41239,0.84244,0.00048275,0.00048275,0.00048275
64,4090.96,0.67251,0.40921,0.82841,0.91811,0.83717,0.89073,0.64884,0.64571,0.40574,0.84129,0.000470375,0.000470375,0.000470375
65,4126.47,0.64948,0.40008,0.82724,0.91762,0.8276,0.88169,0.64805,0.63958,0.40865,0.83895,0.000458,0.000458,0.000458
66,4202.94,0.66106,0.40697,0.82756,0.8926,0.84206,0.88142,0.64938,0.6458,0.40428,0.84022,0.000445625,0.000445625,0.000445625
67,4235.11,0.65165,0.39939,0.82214,0.91244,0.83794,0.89274,0.66497,0.63499,0.40403,0.83994,0.00043325,0.00043325,0.00043325
68,4303.95,0.65464,0.39716,0.82455,0.9352,0.83814,0.89211,0.66184,0.64643,0.40476,0.83733,0.000420875,0.000420875,0.000420875
69,4343.57,0.65631,0.39658,0.82568,0.93035,0.83409,0.88668,0.65274,0.65215,0.39817,0.84092,0.0004085,0.0004085,0.0004085
70,4380.23,0.66255,0.39745,0.82174,0.92272,0.83673,0.89272,0.65171,0.65126,0.39943,0.84169,0.000396125,0.000396125,0.000396125
71,4406.55,0.64332,0.39376,0.82382,0.91771,0.8507,0.89972,0.65714,0.65556,0.40508,0.84256,0.00038375,0.00038375,0.00038375
72,4458.47,0.65164,0.39644,0.82548,0.91311,0.84958,0.89856,0.65133,0.66522,0.40913,0.84534,0.000371375,0.000371375,0.000371375
73,4534.79,0.65262,0.39065,0.825,0.96019,0.83583,0.9005,0.65623,0.64787,0.40444,0.841,0.000359,0.000359,0.000359
74,4575.17,0.65969,0.39494,0.82202,0.91545,0.85323,0.89273,0.65626,0.66032,0.40075,0.84337,0.000346625,0.000346625,0.000346625
75,4632.67,0.63889,0.38402,0.82257,0.93967,0.8295,0.89495,0.65599,0.66464,0.40404,0.8439,0.00033425,0.00033425,0.00033425
76,4664.85,0.65045,0.38469,0.82732,0.90581,0.8484,0.87265,0.64213,0.65308,0.39857,0.84387,0.000321875,0.000321875,0.000321875
77,4691.11,0.64746,0.38718,0.82399,0.91234,0.84695,0.89182,0.65409,0.65631,0.39544,0.84389,0.0003095,0.0003095,0.0003095
78,4773.5,0.6339,0.3831,0.82392,0.91861,0.84163,0.89317,0.65223,0.65229,0.39468,0.84357,0.000297125,0.000297125,0.000297125
79,4815.43,0.63602,0.37896,0.81963,0.949,0.82054,0.88673,0.64309,0.65335,0.4049,0.84375,0.00028475,0.00028475,0.00028475
80,4849.53,0.64147,0.38105,0.82154,0.9394,0.81923,0.89197,0.64348,0.64026,0.39759,0.84195,0.000272375,0.000272375,0.000272375
81,4911.42,0.64912,0.38535,0.82481,0.93037,0.80838,0.88748,0.64649,0.65094,0.39919,0.84358,0.00026,0.00026,0.00026
82,4945.99,0.63936,0.38053,0.8205,0.94699,0.82504,0.89474,0.65924,0.64714,0.39077,0.8429,0.000247625,0.000247625,0.000247625
83,4980.25,0.64082,0.37929,0.81951,0.90576,0.84117,0.88717,0.65387,0.64,0.38716,0.84142,0.00023525,0.00023525,0.00023525
84,5006.45,0.62941,0.37263,0.8218,0.90999,0.83743,0.89006,0.65186,0.64832,0.38846,0.84288,0.000222875,0.000222875,0.000222875
85,5075.33,0.63873,0.37619,0.82061,0.91424,0.85085,0.89504,0.65343,0.65487,0.38619,0.843,0.0002105,0.0002105,0.0002105
86,5100.64,0.63594,0.37483,0.81955,0.91231,0.84693,0.892,0.66179,0.63325,0.38298,0.84165,0.000198125,0.000198125,0.000198125
87,5164.39,0.64149,0.37317,0.82277,0.92097,0.84158,0.90148,0.65732,0.64068,0.38224,0.84117,0.00018575,0.00018575,0.00018575
88,5230.39,0.63304,0.37092,0.81952,0.9038,0.8452,0.89892,0.65194,0.63185,0.37928,0.84085,0.000173375,0.000173375,0.000173375
89,5262.01,0.61947,0.36761,0.81999,0.90529,0.8164,0.88931,0.64443,0.64195,0.38915,0.84257,0.000161,0.000161,0.000161
90,5334.97,0.63313,0.37104,0.82076,0.84989,0.85723,0.88212,0.65402,0.64368,0.38375,0.84157,0.000148625,0.000148625,0.000148625
91,5380.94,0.62544,0.37444,0.82089,0.93288,0.80748,0.87417,0.6346,0.64713,0.39184,0.84276,0.00013625,0.00013625,0.00013625
92,5400.71,0.62769,0.37493,0.81988,0.92286,0.81123,0.87925,0.62849,0.65576,0.3947,0.84378,0.000123875,0.000123875,0.000123875
93,5420.48,0.61774,0.36841,0.81956,0.87316,0.83871,0.88185,0.62984,0.64906,0.38902,0.84481,0.0001115,0.0001115,0.0001115
94,5440.25,0.61561,0.3642,0.8197,0.94757,0.81189,0.88882,0.63475,0.64823,0.39173,0.84217,9.9125e-05,9.9125e-05,9.9125e-05
95,5476.83,0.60519,0.35735,0.82082,0.94217,0.80076,0.87869,0.63982,0.65083,0.38917,0.84181,8.675e-05,8.675e-05,8.675e-05
96,5513.66,0.60869,0.35907,0.81627,0.90193,0.82918,0.88591,0.64779,0.64341,0.38483,0.84115,7.4375e-05,7.4375e-05,7.4375e-05
97,5551.62,0.59925,0.35479,0.81531,0.90516,0.84027,0.8911,0.64759,0.63896,0.37936,0.84086,6.2e-05,6.2e-05,6.2e-05
98,5570.9,0.60023,0.35395,0.81651,0.90801,0.83301,0.88696,0.64739,0.64617,0.38125,0.84253,4.9625e-05,4.9625e-05,4.9625e-05
99,5607.33,0.60774,0.35585,0.81515,0.90321,0.82372,0.88685,0.64187,0.63347,0.37878,0.84093,3.725e-05,3.725e-05,3.725e-05
100,5626.59,0.60477,0.35565,0.8161,0.8952,0.82441,0.88173,0.64087,0.63606,0.37877,0.84123,2.4875e-05,2.4875e-05,2.4875e-05
