epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5761,1.03348,2.43825,0.93926,0.02884,0.31502,0.20518,0.13052,0.84296,3.00932,0.86358,0.000411111,0.000411111,0.000411111
2,221.339,0.94071,1.46261,0.9102,0.46117,0.27213,0.26641,0.19967,0.8337,1.18035,0.89642,0.000819583,0.000819583,0.000819583
3,326.645,0.96457,1.34716,0.90699,0.57037,0.33276,0.33162,0.22962,0.91135,1.03477,0.89784,0.0012198,0.0012198,0.0012198
4,452.938,0.97402,1.30042,0.90651,0.82208,0.3258,0.36682,0.25962,0.81608,1.00797,0.8935,0.00121287,0.00121287,0.00121287
5,551.933,0.90549,1.23041,0.90308,0.89331,0.35243,0.46364,0.31271,0.76364,0.94494,0.87928,0.0012005,0.0012005,0.0012005
6,650.987,0.84495,1.11942,0.87807,0.50597,0.54551,0.48991,0.33939,0.72424,0.86464,0.86559,0.00118812,0.00118812,0.00118812
7,759.197,0.83785,1.01058,0.86789,0.57985,0.57717,0.56154,0.37881,0.73192,0.78289,0.86352,0.00117575,0.00117575,0.00117575
8,831.057,0.81331,0.96139,0.8711,0.68017,0.6499,0.63573,0.44339,0.71642,0.70809,0.86023,0.00116337,0.00116337,0.00116337
9,871,0.81622,0.88381,0.86444,0.7636,0.67477,0.72038,0.51657,0.726,0.66251,0.86095,0.001151,0.001151,0.001151
10,986.94,0.81158,0.84582,0.86799,0.8743,0.70478,0.77882,0.54729,0.79003,0.65903,0.87092,0.00113863,0.00113863,0.00113863
11,1031.54,0.85085,0.83603,0.87414,0.85897,0.74973,0.80606,0.57038,0.7559,0.62955,0.8677,0.00112625,0.00112625,0.00112625
12,1073.51,0.81572,0.79457,0.86804,0.82164,0.74681,0.79176,0.55866,0.74095,0.59547,0.86317,0.00111388,0.00111388,0.00111388
13,1165,0.75826,0.74836,0.85779,0.86862,0.76898,0.8264,0.59132,0.69946,0.55222,0.85777,0.0011015,0.0011015,0.0011015
14,1202.32,0.76801,0.71048,0.85893,0.83605,0.80789,0.8286,0.58575,0.68881,0.53649,0.85596,0.00108913,0.00108913,0.00108913
15,1247.17,0.76611,0.68316,0.85123,0.89315,0.80908,0.84318,0.60613,0.69655,0.53441,0.85487,0.00107675,0.00107675,0.00107675
16,1328.2,0.77025,0.69223,0.8574,0.87931,0.81426,0.84666,0.61421,0.6977,0.52269,0.85335,0.00106437,0.00106437,0.00106437
17,1421.87,0.78935,0.67343,0.85429,0.89962,0.81289,0.85332,0.62069,0.71085,0.53219,0.85583,0.001052,0.001052,0.001052
18,1459.64,0.75254,0.64494,0.8539,0.92049,0.81216,0.86021,0.61802,0.68982,0.51623,0.85341,0.00103962,0.00103962,0.00103962
19,1548.25,0.76883,0.63909,0.85492,0.90824,0.80932,0.85706,0.62722,0.67765,0.50001,0.85071,0.00102725,0.00102725,0.00102725
20,1584.07,0.73883,0.60616,0.84984,0.88026,0.81828,0.86077,0.63167,0.66511,0.48988,0.84705,0.00101488,0.00101488,0.00101488
21,1675.13,0.74441,0.59902,0.85099,0.90518,0.78843,0.85767,0.61225,0.69366,0.51032,0.85336,0.0010025,0.0010025,0.0010025
22,1774.22,0.79837,0.60722,0.85149,0.8721,0.81871,0.86169,0.61586,0.6805,0.50346,0.85547,0.000990125,0.000990125,0.000990125
23,1828.93,0.74361,0.57526,0.8516,0.89411,0.81862,0.8644,0.61733,0.69383,0.48741,0.85248,0.00097775,0.00097775,0.00097775
24,1856.04,0.75698,0.57272,0.84557,0.87186,0.81431,0.86036,0.62529,0.68102,0.48545,0.8498,0.000965375,0.000965375,0.000965375
25,1936.43,0.73224,0.5635,0.84705,0.90754,0.79714,0.8595,0.62281,0.67973,0.48535,0.8535,0.000953,0.000953,0.000953
26,2019.86,0.74798,0.5598,0.84656,0.90107,0.83769,0.87255,0.63365,0.67012,0.47347,0.84543,0.000940625,0.000940625,0.000940625
27,2054.27,0.72667,0.54145,0.84469,0.90906,0.81842,0.87847,0.63553,0.65783,0.46765,0.84587,0.00092825,0.00092825,0.00092825
28,2088.52,0.72136,0.53352,0.83985,0.87717,0.84908,0.87597,0.63238,0.67028,0.47179,0.84515,0.000915875,0.000915875,0.000915875
29,2113.66,0.7268,0.53065,0.83997,0.89093,0.8424,0.8786,0.64383,0.67431,0.47016,0.84455,0.0009035,0.0009035,0.0009035
30,2142.53,0.72214,0.52515,0.84436,0.91082,0.83643,0.87608,0.64046,0.65837,0.45715,0.84447,0.000891125,0.000891125,0.000891125
31,2177.69,0.70711,0.51213,0.83721,0.90821,0.82912,0.86514,0.63341,0.66,0.45852,0.8434,0.00087875,0.00087875,0.00087875
32,2241.44,0.71461,0.50714,0.83721,0.87869,0.8588,0.8815,0.63021,0.67054,0.45977,0.84896,0.000866375,0.000866375,0.000866375
33,2269.79,0.71832,0.50442,0.83935,0.92848,0.83344,0.88253,0.64336,0.65912,0.45136,0.84181,0.000854,0.000854,0.000854
34,2305.62,0.70532,0.49234,0.83902,0.93422,0.80452,0.88443,0.63154,0.66349,0.45573,0.84746,0.000841625,0.000841625,0.000841625
35,2394.16,0.71424,0.49607,0.83999,0.89527,0.84511,0.88346,0.6248,0.69173,0.45058,0.84822,0.00082925,0.00082925,0.00082925
36,2448.48,0.71988,0.49519,0.83563,0.90903,0.82936,0.88031,0.63153,0.69998,0.45079,0.84931,0.000816875,0.000816875,0.000816875
37,2484.85,0.71685,0.49437,0.83682,0.85539,0.84914,0.87377,0.62821,0.66371,0.44855,0.84476,0.0008045,0.0008045,0.0008045
38,2519.59,0.69926,0.478,0.83549,0.89211,0.84202,0.87588,0.62607,0.65629,0.44028,0.84571,0.000792125,0.000792125,0.000792125
39,2556.12,0.70352,0.47207,0.83393,0.87579,0.82933,0.87423,0.63476,0.65288,0.43773,0.84367,0.00077975,0.00077975,0.00077975
40,2607.48,0.70593,0.46838,0.83568,0.89477,0.84556,0.87788,0.63479,0.67064,0.44205,0.84755,0.000767375,0.000767375,0.000767375
41,2643.73,0.71171,0.46789,0.83742,0.87681,0.85149,0.88668,0.63362,0.67275,0.44384,0.84798,0.000755,0.000755,0.000755
42,2729.95,0.69352,0.4633,0.83264,0.92478,0.81888,0.88532,0.65361,0.66261,0.43377,0.84272,0.000742625,0.000742625,0.000742625
43,2769.53,0.7207,0.46399,0.83546,0.93635,0.81961,0.88406,0.64445,0.66267,0.42926,0.84369,0.00073025,0.00073025,0.00073025
44,2811.93,0.70318,0.45723,0.83455,0.87803,0.86267,0.88614,0.64213,0.6643,0.43241,0.84246,0.000717875,0.000717875,0.000717875
45,2847.52,0.6991,0.45613,0.83169,0.96054,0.80879,0.87654,0.63126,0.6527,0.42529,0.84471,0.0007055,0.0007055,0.0007055
46,2880.69,0.70596,0.45407,0.83383,0.92817,0.82471,0.87516,0.63522,0.66069,0.43472,0.84466,0.000693125,0.000693125,0.000693125
47,2912.05,0.67951,0.44234,0.82963,0.9013,0.84343,0.88465,0.64322,0.64825,0.42036,0.84399,0.00068075,0.00068075,0.00068075
